Designation,Designation,"Distance
(ly (±err))→→",Constellation,"Coordinates:
RA, Dec
(Ep J2000, Eq J2000)","Stellar
class",Mass,Magnitude (mV or mJ),Magnitude (mV or mJ),"Parallax
(mas
(±err))","Notes and additional
references"
System,Star or (sub-) brown dwarf,"Distance
(ly (±err))→→",Constellation,"Coordinates:
RA, Dec
(Ep J2000, Eq J2000)","Stellar
class",M☉,App.,Abs.,"Parallax
(mas
(±err))","Notes and additional
references"
Solar System,Sun (Sol)$,0.0000158,N/A,N/A,G2V,1,−26.74#,4.85,N/A,eight recognized planets and more dwarf planets
Alpha Centauri,"Proxima Centauri (C, V645 Centauri)","4.2465
±0.0003",Cen*,"14h 29m 43.0s
−62° 40′ 46″",M5.5Ve,0.122,11.09,15.53,"768.0665
±0.0499","flare star, one confirmed planet (b, 2016, and two candidate planets, (d, 2022) and (c, 2019)"
Alpha Centauri,Rigil Kentaurus (A)$,"4.3441
±0.0022",Cen*,"14h 39m 36.5s
−60° 50′ 02″",G2V,1.079,0.01#,4.38,"750.81
±0.38",one directly imaged habitable-zone planet candidate (Candidate 1) (2021)
Alpha Centauri,Toliman (B)$,"4.3441
±0.0022",Cen*,"14h 39m 35.1s
−60° 50′ 14″",K1V,0.909,1.34#,5.71,"750.81
±0.38",planet b refuted in 2015
Barnard's Star (BD+04°3561a),Barnard's Star (BD+04°3561a),"5.9629
±0.0004",Oph*,"17h 57m 48.5s
+04° 41′ 36″",M4.0Ve,0.144,9.53,13.22,"546.9759
±0.0401","flare star, largest-known proper motion, one confirmed planet (b)"
"Luhman 16
(WISE 1049−5319)",A§,"6.5029
±0.0011",Vel*,"10h 49m 18.9s
−53° 19′ 10″",L8±1,0.032,10.7 J,14.2 J,"501.557
±0.082",nearest brown dwarfs
"Luhman 16
(WISE 1049−5319)",B§,"6.5029
±0.0011",Vel*,"10h 49m 18.9s
−53° 19′ 10″",T1±2,0.027,,,"501.557
±0.082",nearest brown dwarfs
WISE 0855−0714&,WISE 0855−0714&,"7.430
±0.041",Hya*,"08h 55m 10.8s
−07° 14′ 43″",Y4,0.007,25.0 J,28.2 J,"439.0
±2.4",sub-brown dwarf
Wolf 359 (CN Leonis),Wolf 359 (CN Leonis),"7.8558
±0.0013",Leo*,"10h 56m 29.2s
+07° 00′ 53″",M6.0V,0.090,13.44,16.55,"415.1794
±0.0684","flare star, has 1 candidate & 1 refuted planet"
"Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)","Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)","8.3044
±0.0007",UMa*,"11h 03m 20.2s
+35° 58′ 12″",M2.0V,0.390,7.47,10.44,"392.7529
±0.0321","two known planets (2019, 2021)"
Alpha Canis Majoris,Sirius (A)$,"8.7094
±0.0054",CMa*,"06h 45m 08.9s
−16° 42′ 58″",A1V,2.063,−1.46#,1.42,"374.4896
±0.2313",brightest star in the night sky
Alpha Canis Majoris,B‡,"8.7094
±0.0054",CMa*,"06h 45m 08.9s
−16° 42′ 58″",DA2,1.018,8.44,11.34,"374.4896
±0.2313",brightest star in the night sky
Gliese 65 (Luyten 726–8),A (BL Ceti),"8.724
±0.012",Cet*,"01h 39m 01.3s
−17° 57′ 01″",M5.5Ve,0.102,12.54,15.40,"373.8443
±0.5009","flare star (Archetypal member), has 1 candidate planet"
Gliese 65 (Luyten 726–8),B (UV Ceti),"8.724
±0.012",Cet*,"01h 39m 01.3s
−17° 57′ 01″",M6.0Ve,0.100,12.99,15.85,"373.8443
±0.5009","flare star (Archetypal member), has 1 candidate planet"
Ross 154 (V1216 Sagittarii),Ross 154 (V1216 Sagittarii),"9.7063
±0.0009",Sgr*,"18h 49m 49.4s
−23° 50′ 10″",M3.5Ve,0.17,10.43,13.07,"336.0266
±0.0317",flare star
Ross 248 (HH Andromedae),Ross 248 (HH Andromedae),"10.3057
±0.0014",And*,"23h 41m 54.7s
+44° 10′ 30″",M5.5Ve,0.136,12.29,14.79,"316.4812
±0.0444",flare star
Epsilon Eridani (Ran)$,Epsilon Eridani (Ran)$,"10.4749
±0.0037",Eri*,"03h 32m 55.8s
−09° 27′ 30″",K2V,0.820,3.73#,6.19,"311.37
±0.11","three circumstellar disks,
one confirmed planet (AEgir, 2000) and one candidate (c, 2002)"
Lacaille 9352 (Gliese 887),Lacaille 9352 (Gliese 887),"10.7241
±0.0007",PsA*,"23h 05m 52.0s
−35° 51′ 11″",M0.5V,0.486,7.34,9.75,"304.1354
±0.0200","two planets, b and c, with equivocal evidence for a third in the habitable zone (2020)"
Ross 128 (FI Virginis),Ross 128 (FI Virginis),"11.0074
±0.0011",Vir*,"11h 47m 44.4s
+00° 48′ 16″",M4.0Vn,0.168,11.13,13.51,"296.3053
±0.0302","flare star, one planet (b) (2017)"
"EZ Aquarii
(Gliese 866, Luyten 789-6)",A,"11.109
±0.034",Aqr*,"22h 38m 33.4s
−15° 17′ 57″",M5.0Ve,0.11,13.33,15.64,"293.60
±0.9",A & B flare stars
"EZ Aquarii
(Gliese 866, Luyten 789-6)",B,"11.109
±0.034",Aqr*,"22h 38m 33.4s
−15° 17′ 57″",M?,0.11,13.27,15.58,"293.60
±0.9",A & B flare stars
"EZ Aquarii
(Gliese 866, Luyten 789-6)",C,"11.109
±0.034",Aqr*,"22h 38m 33.4s
−15° 17′ 57″",M?,0.10,14.03,16.34,"293.60
±0.9",A & B flare stars
Alpha Canis Minoris,Procyon (A)$,"11.402
±0.032",CMi*,"07h 39m 18.1s
+05° 13′ 30″",F5IV–V,1.499,0.38#,2.66,"286.05
±0.81",
